file_path,caption
dataset/audio/MGs_1.wav,"Someone plays a folksy acoustic guitar fingerpicks that portrays a rustic cabin in the woods."
dataset/audio/MGs_2.wav,"Someone plays a gentle nylon-string guitar plays a lullaby that portrays a cozy nursery in a quiet town."
dataset/audio/MGs_3.wav,"Someone plays a rustic banjo plays a folk tune that portrays a countryside gathering near a bonfire."
dataset/audio/MGs_4.wav,"Someone plays a meditative sitar-like guitar plays peacefully that portrays a serene zen garden in kyoto."
dataset/audio/MGs_5.wav,"Someone plays a wistful dobro slide guitar plays that portrays a slow train ride through open landscapes in the midwest."
dataset/audio/MGm_1.wav,"Someone plays a playful mandolin jams that portrays a lively outdoor festival in a sunny field."
dataset/audio/MGm_2.wav,"Someone plays a haunting classical guitar plays a ballad that portrays a ghostly, mysterious old mansion."
dataset/audio/MGm_3.wav,"Someone plays a heartfelt fingerstyle guitar plays a love song that portrays a cozy, intimate cafe in paris."
dataset/audio/MGm_4.wav,"Someone plays a minimalist harp guitar plays an ambient piece that portrays a solitary mountain retreat."
dataset/audio/MGm_5.wav,"Someone plays a bright ukulele plays a carefree tune that portrays a sunny beach in hawaii."
dataset/audio/MGm_6.wav,"Someone plays a dreamy 12-string guitar plays an ethereal piece that portrays a misty forest glade."
dataset/audio/MGm_7.wav,"Someone plays a deep baritone acoustic guitar plays a ballad that portrays a lonely train station waiting room."
dataset/audio/MGm_8.wav,"Someone plays a rhythmic fingerstyle guitar plays a folk groove that portrays an earthy campfire circle."
dataset/audio/MGm_9.wav,"Someone plays a cinematic resonator guitar plays a western melody that portrays a vast desert landscape near santa fe."
dataset/audio/MGm_10.wav,"Someone plays a hopeful acoustic guitar plays a tune that portrays sunrise over rolling hills in the countryside."
dataset/audio/MGm_11.wav,"Someone plays a lively bouzouki plays a sea shanty that portrays the deck of a ship on the open ocean."
dataset/audio/MGm_12.wav,"Someone plays a haunting lute plays a medieval track that portrays an ancient castle hall in scotland."
dataset/audio/MGm_13.wav,"Someone plays a rustic slide guitar jams the blues that portrays a soulful southern juke joint."
dataset/audio/MGm_14.wav,"Someone plays a quiet nylon-string guitar plays a wintery composition that portrays a snowy landscape near aspen."
dataset/audio/MGm_15.wav,"Someone plays a vibrant gypsy jazz guitar swings energetically that portrays a bustling parisian club."
dataset/audio/MGm_16.wav,"Someone plays a gentle fingerpicked guitar plays a peaceful melody that portrays an introspective mood by a quiet lake."
dataset/audio/MGm_17.wav,"Someone plays a lively mandolin plays a folk tune that portrays an uplifting atmosphere at an outdoor festival."
dataset/audio/MGm_18.wav,"Someone plays a melancholic classical guitar plays a waltz that portrays an old-world viennese ballroom."
dataset/audio/MGm_19.wav,"Someone plays a cinematic steel-string guitar that portrays a landscape across a vast, open horizon in montana."
dataset/audio/MGm_20.wav,"Someone plays a rhythmic tapped guitar plays a dynamic piece that portrays an earthy forest clearing."
dataset/audio/MGm_21.wav,"Someone plays a warm dobro slide guitar plays a rustic instrumental that portrays a cozy fireside in a cabin."
dataset/audio/MGm_22.wav,"Someone plays a dreamy harp guitar plays an atmospheric piece that portrays wonder in a misty mountain cave."
dataset/audio/MGm_23.wav,"Someone plays a bright 12-string guitar plays a fingerstyle tune that portrays sunrise in a quiet garden."
dataset/audio/MGm_24.wav,"Someone plays a flowing nylon-string guitar plays a classical composition that portrays serenity in an elegant european salon."
dataset/audio/MGm_25.wav,"Someone plays a moody resonator guitar plays a blues groove that portrays soulful energy in a late-night memphis bar."
dataset/audio/MGm_26.wav,"Someone plays a peaceful steel-string guitar plays a fingerpicked melody that portrays a serene, reflective atmosphere by a riverside."
dataset/audio/MGm_27.wav,"Someone plays a lively mandolin plays a folk dance that portrays an outdoor festival in a village square."
dataset/audio/MGm_28.wav,"Someone plays a haunting nylon-string guitar plays a minor-key piece that portrays a dark, shadowed forest."
dataset/audio/MGm_29.wav,"Someone plays a warm dobro slide guitar plays a fireside tune that portrays storytelling in a rustic lodge."
dataset/audio/MGm_30.wav,"Someone plays a minimalist harp guitar plays an atmospheric piece that portrays a secluded bamboo garden."
dataset/audio/MGm_31.wav,"Someone plays a cinematic steel-string acoustic guitar that portrays a landscape in a sweeping movie scene set in the plains."
dataset/audio/MGm_32.wav,"Someone plays a nostalgic acoustic guitar plays a country waltz that portrays old american ballads in a dusty attic."
dataset/audio/MGm_33.wav,"Someone plays a mysterious lute plays a medieval melody that portrays a dimly lit castle chamber."
dataset/audio/MGm_34.wav,"Someone plays a bright ukulele plays a cheerful instrumental that portrays tropical vibes on a hawaiian beach."
dataset/audio/MGm_35.wav,"Someone plays a moody resonator guitar plays a late-night blues groove that portrays a dimly lit new orleans club."
dataset/audio/MGm_36.wav,"Someone plays a deep low-tuned acoustic guitar plays a melancholic piece that portrays a quiet, reflective space like an empty church."
dataset/audio/MGm_37.wav,"Someone plays a celtic bouzouki plays a folk tune that portrays rolling green hills in ireland."
dataset/audio/MGm_38.wav,"Someone plays a gentle fingerpicked classical guitar plays a lullaby that portrays a warm, cozy nursery."
dataset/audio/MGm_39.wav,"Someone plays a percussive tapped guitar jams that portrays an earthy feel to an outdoor drum circle."
dataset/audio/MGm_40.wav,"Someone plays a wintery nylon-string guitar that portrays snowfall in a quiet village."
dataset/audio/MGm_41.wav,"Someone plays a playful banjo plays an energetic tune that portrays a barn dance in the countryside."
dataset/audio/MGm_42.wav,"Someone plays a slow acoustic guitar plays a cinematic ballad that portrays an emotional story in an empty theatre."
dataset/audio/MGm_43.wav,"Someone plays a drifting harmonics-heavy guitar plays an ambient piece that portrays a vast, open space under the stars."
dataset/audio/MGm_44.wav,"Someone plays a rustic bottleneck slide guitar plays a blues progression that portrays a smoky bar in the mississippi delta."
dataset/audio/MGm_45.wav,"Someone plays a dreamy fingerstyle guitar plays an ethereal composition that portrays a misty, magical forest."
dataset/audio/MGm_46.wav,"Someone plays a delicate wood flute plays a nature-inspired melody that portrays a serene forest clearing."
dataset/audio/MGm_47.wav,"Someone plays a deep baritone guitar jams that portrays resonant tones in a dark, moody cave."
dataset/audio/MGm_48.wav,"Someone plays a cinematic 12-string guitar plays a storytelling instrumental that portrays a grand, historical setting."
dataset/audio/MGm_49.wav,"Someone plays a meditative sitar-like guitar plays an eastern-influenced piece that portrays a peaceful temple garden."
dataset/audio/MGm_50.wav,"Someone plays a nostalgic nylon-string guitar plays an old-time waltz that portrays a vintage ballroom."
dataset/audio/MGm_51.wav,"Someone plays a moody low jazz guitar plays a noir-inspired piece that portrays a smoky bar scene in a 1940s city."
dataset/audio/MGm_52.wav,"Someone plays a rolling steel-string guitar plays a road-trip tune that portrays on an open highway through the desert."
dataset/audio/MGm_53.wav,"Someone plays a fast-paced swing-style acoustic guitar plays a gypsy jazz instrumental that portrays a lively parisian club."
dataset/audio/MGm_54.wav,"Someone plays a vast resonator guitar that portrays an open desert soundscape under a wide sky."
dataset/audio/MGm_55.wav,"Someone plays a soothing fingerstyle acoustic guitar plays a warm melody that portrays a calming seaside setting."
dataset/audio/MGm_56.wav,"Someone plays a gentle fingerpicked acoustic guitar melody plays that portrays creating a peaceful mood in a quiet library."
dataset/audio/MGm_57.wav,"Someone plays a lively strumming banjo plays a folk dance that portrays an energetic barn party."
dataset/audio/MGm_58.wav,"Someone plays a melancholic nylon-string guitar plays a waltz that portrays an old, dusty attic."
